0,0,49,25.373042069244384,2128,472
0,1,49,24.365405283737182,1494,499
0,2,49,24.528281174468994,3005,499
0,3,49,24.490678511428833,2952,500
0,4,49,24.44813510017395,2110,499
0,5,49,24.413085900115966,2099,523
0,6,49,24.352815829086303,801,472
0,7,49,24.388646326828002,1300,499
0,8,49,24.38814540939331,1212,480
0,9,49,24.37060757713318,1425,502
0,10,49,24.36162921028137,691,470
0,11,49,24.436902485656738,1668,499
0,12,49,24.34119363861084,719,472
0,13,49,24.448736153411865,2091,548
0,14,49,24.358213148880004,942,470
0,15,49,24.43991681175232,1665,499
0,16,49,24.34175320701599,738,499
0,17,49,24.451034270095825,2317,469
0,18,49,24.41286512451172,1995,499
0,19,49,24.344240866470336,778,501
0,20,49,24.391872130203247,1237,499
0,21,49,24.34132333831787,746,499
0,22,49,24.454019509124755,2342,499
0,23,49,24.344124041366577,839,470
0,24,49,24.37517973022461,1717,499
0,25,49,24.34512587623596,300,98
0,26,49,24.410427532958984,1692,499
0,27,49,24.344929180908203,855,470
0,28,49,24.390221796798706,1302,505
0,29,49,24.344997845458984,297,98
0,30,49,24.36355062561035,1368,509
0,31,49,24.343773566055297,881,499
0,32,49,24.373179398345947,1354,501
0,33,49,24.446151934432983,2001,499
0,34,49,24.344649754333496,831,499
0,35,49,24.390818558502197,1329,499
0,36,49,24.3929884059906,1225,499
0,37,49,24.343744955825805,809,507
0,38,49,24.370857201385498,1470,508
0,39,49,24.44734450416565,2253,499
0,40,49,24.453359089660644,2325,499
0,41,49,24.34579464035034,855,521
0,42,49,24.342755041885376,392,240
0,43,49,24.349129639434814,1002,499
0,44,49,24.388965807724,1430,595
0,45,49,24.352752171325683,1206,499
0,46,49,24.38914819793701,1086,470
0,47,49,24.39195319252014,888,431
0,48,49,24.437988959121704,1231,565
1,0,41,1.8657751083374023,2982,499
1,1,41,24.58378454284668,1792,499
1,2,41,24.489346228408813,338,189
1,3,41,24.477104864883422,714,472
1,4,41,24.488402806091308,712,470
1,5,41,24.553924046325683,2028,503
1,6,41,24.516556464004516,1693,503
1,7,41,24.602623663711547,2162,473
1,8,41,24.498235188293457,1028,470
1,9,41,24.508982621002197,1298,503
1,10,41,24.497162781524658,646,264
1,11,41,24.518854103851318,1516,478
1,12,41,24.637950144577026,2770,657
1,13,41,24.485880337524414,304,123
1,14,41,24.583530150222778,1849,549
1,15,41,24.592582665252685,2149,554
1,16,41,24.49814387397766,1168,512
1,17,41,24.6334030254364,2767,567
