,type,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
27,jetting,3.90656E-08,0.01526,1015.5,0.001,0.012601,1.6,1.6,0.030026448,0.001211015,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
28,jetting,3.90656E-08,0.01526,1015.5,0.001,0.012601,1.6,1.6,0.030026448,0.001211015,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
29,jetting,7.81056E-08,0.03051,1015.5,0.001,0.012601,1.6,1.6,0.1200271,0.002421236,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
30,jetting,7.81056E-08,0.03051,1015.5,0.001,0.012601,1.6,1.6,0.1200271,0.002421236,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
31,jetting,1.95277E-07,0.07628,1015.5,0.001,0.012601,1.6,1.6,0.750267731,0.006053488,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
32,jetting,1.95277E-07,0.07628,1015.5,0.001,0.012601,1.6,1.6,0.750267731,0.006053488,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
33,jetting,3.90579E-07,0.15257,1015.5,0.001,0.012601,1.6,1.6,3.001464363,0.012107769,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
34,jetting,3.90579E-07,0.15257,1015.5,0.001,0.012601,1.6,1.6,3.001464363,0.012107769,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
35,jetting,7.81158E-07,0.30514,1015.5,0.001,0.012601,1.6,1.6,12.00585745,0.024215538,8.49254E-09,0.33174,1350.5,0.00043,0.012601,0.16,0.16,1.887144868,0.011320387
36,jetting,7.81158E-07,0.30514,1015.5,0.001,0.012601,1.6,1.6,12.00585745,0.024215538,9.55418E-09,0.37321,1350.5,0.00043,0.012601,0.16,0.16,2.388449722,0.012735521
